Member_number,Date,itemDescription
1211,19-04-2015,other vegetables
1370,05-07-2015,chocolate
3779,10-10-2015,domestic eggs
3498,31-03-2015,root vegetables
1613,06-04-2015,whipped/sour cream
1176,17-08-2015,other vegetables
4027,29-06-2015,pip fruit
4389,17-12-2015,liquor
2578,28-05-2015,root vegetables
1342,19-02-2015,pastry
2210,07-09-2015,rolls/buns
4807,08-04-2015,waffles
2799,10-09-2015,pickled vegetables
2957,27-11-2015,grapes
3566,14-12-2015,pork
4768,13-03-2015,flour
4853,04-10-2015,whole milk
3791,25-03-2015,yogurt
3235,14-11-2015,long life bakery product
3866,07-07-2015,whole milk
4385,17-11-2015,margarine
4938,10-12-2015,other vegetables
1528,15-09-2015,chicken
4273,21-03-2015,whole milk
1329,23-05-2015,whipped/sour cream
4158,11-11-2015,domestic eggs
1558,06-04-2015,other vegetables
4782,31-05-2015,berries
4606,15-05-2015,dishes
3066,05-05-2015,other vegetables
2299,10-11-2015,newspapers
3677,01-09-2015,domestic eggs
3947,13-06-2015,liver loaf
2475,23-07-2015,napkins
4677,09-04-2015,rolls/buns
1890,27-05-2015,specialty chocolate
3645,05-12-2015,rolls/buns
4951,24-11-2015,pip fruit
1718,14-03-2015,frozen vegetables
1304,17-08-2015,whole milk
2018,25-08-2015,chocolate
3232,10-06-2015,ice cream
4905,25-11-2015,other vegetables
1238,01-03-2015,margarine
4892,13-04-2015,make up remover
4152,18-06-2015,sugar
1790,05-02-2015,other vegetables
1874,10-02-2015,other vegetables
4708,06-06-2015,processed cheese
3852,01-04-2015,other vegetables
4688,08-05-2015,rolls/buns
1042,16-10-2015,other vegetables
4908,20-05-2015,soda
1780,12-07-2015,rolls/buns
1438,11-05-2015,beef
1265,19-01-2015,other vegetables
3669,10-02-2015,white bread
2412,13-03-2015,hard cheese
1818,10-09-2015,specialty bar
2601,27-06-2015,ready soups
1905,31-07-2015,whole milk
1407,26-06-2015,citrus fruit
3754,02-01-2015,whole milk
2743,05-05-2015,dog food
2211,22-09-2015,canned beer
4138,12-06-2015,light bulbs
4141,12-11-2015,pot plants
4826,15-06-2015,other vegetables
2685,07-10-2015,yogurt
3793,02-07-2015,rolls/buns
4687,23-09-2015,other vegetables
2277,18-01-2015,shopping bags
4518,20-07-2015,rice
1997,28-12-2015,pip fruit
4114,07-08-2015,salty snack
1097,25-09-2015,whipped/sour cream
2568,22-09-2015,flour
1997,20-08-2015,newspapers
4987,07-01-2015,waffles
2404,02-06-2015,flour
1619,04-03-2015,jam
3640,13-03-2015,domestic eggs
4537,27-10-2015,salty snack
3519,30-07-2015,hamburger meat
3587,08-06-2015,hair spray
1232,01-07-2015,grapes
2597,15-08-2015,soda
1878,10-01-2015,soda
2860,01-03-2015,shopping bags
4006,14-06-2015,root vegetables
4536,13-09-2015,dessert
4180,04-06-2015,whole milk
1384,23-03-2015,other vegetables
3322,11-10-2015,yogurt
2543,13-08-2015,cream cheese 
3763,27-06-2015,whole milk
4459,08-02-2015,hamburger meat
2736,25-05-2015,soda
1549,18-03-2015,beef
2047,20-12-2015,frozen vegetables
3754,22-01-2015,hamburger meat
